"input text","origin case+#chunk","output text"
"These items have been received by WCDF inmates and torn into small squares which can contain potentially fatal doses. Once in the jail, the squares are also sold to other inmates. These issues pose serious security risks for staff and inmates.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#33",""
"The introduction of drugs into the facility in this manner poses the potential for accidental overdose, a risk which has increased with the prevalence of fentanyl, which is a powerful synthetic opioid analgesic similar to, but 50 to 100 times, more potent than morphine. (Barrett-Venn Decl., ECF No. 82-1 ¶¶ 11-13; Scott Iacoboni Decl., ECF No. 82-3 ¶¶ 9, 11; ECF No. 82-3 at 13-23.) WCDF staff detail instances where a female inmate received fentanyl via non-privileged mail and soaked the piece of mail in water. The inmate and her cellmate then ingested the liquid, and both overdosed. One female required 13 separate administrations of Narcan, a prescription anti-opioid medication designed to rapidly reverse the effects of opioid overdose. (Scott Iacoboni Decl., ECF No. 82-3 ¶ 11.) In addition, some inmates continue to test positive for fentanyl for days and weeks after entering WCDF, leading jail staff to believe the inmates must be receiving the substance through the mail. (Id. ¶ 12.) WCDF has experienced overdoses in the facility related to illegally smuggled drugs that have been traced to inmates' family members and the subsequent sale of the drugs within WCDF.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#34",""
"In addition, when drugs are sold within the prison, it has resulted in inmates purchasing the drugs being unable to pay their debts which has led to threats and violence between inmates. (Barrett-Venn Decl., ECF No. 82-1 ¶¶ 13-14; Scott Iacoboni Decl., ECF No. 82-3 ¶¶ 10-11.) Under the postcard-only policy, inmates may receive an unlimited number of pieces of mail; however, non-privileged personal mail was restricted to postcards measuring 4.25 by 6 inches. It is more difficult to ""paint"" illegal substances on the postcard or soak the postcard in liquified drugs than paper sheets. It is also easier for staff to screen a postcard as opposed to sheets of paper and envelopes. (Barrett-Venn Decl., ECF No. 82-1 ¶ 16; Van Der Wall Decl., ECF No. 82-2 ¶ 14; Scott Iacoboni Decl., ECF No. 82-3 ¶¶ 16-17.) Inmates also have other types of communication available to them: they can place outgoing domestic and international telephone calls to approved persons; approved inmates can receive incoming voicemail messages; inmates can send and receive emails through the JailATM platform; and approved inmates are allowed daily remote video visitation through the iWebVisit.com platform. (Barrett-Venn Decl., ECF No. 82-1 ¶¶ 15, 19.) The only viable alternative at the time to the postcard only policy was having WCDF staff examine hundreds of pieces of incoming mail by steaming open letters, which would have burdened staff and put them at risk for accidental exposure to these substances.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#35",""
"The more individual sheets included in letters, the greater the risk was of contraband coming into the facility. (Barrett-Venn Decl., ECF No. 82-1 ¶ 16; Scott Iacoboni Decl., ECF No. 82-3 ¶ 22.) The postcard-only policy allowed the jail to devote more of its staff to security assignments instead of non-privileged mail screening. In addition, overdoses caused by smuggling contraband necessitate facility-wide lockdowns and investigations, taking staff and medical staff away from their normal daily duties. (Scott Iacoboni Decl., ECF No. 82-3 ¶ 21.) With the progression of technology, WCDF has recently modified its mail policy so that incoming personal mail is sent to a facility where it is scanned in totality and posted to the inmate's personal account on computerized tablets which the inmate can review using their login and password. (Barrett-Venn Decl., ECF No. 82-1 ¶ 18; ECF No. 82-3 at 25-28; Kimberly Lintz Decl., ECF No. 82-4 ¶ 9; ECF No. 82-4 at 17, 19-20.) 2. Analysis The only defendant in this claim is Washoe County.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#36",""
"A municipality can be liable for the infringement of constitutional rights in certain circumstances. Monell v. Dep't. of Soc. Servs., 436 U.S. 658, 690-95, 98 S. Ct. 2018, 56 L. Ed.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#37",""
"The question is whether the policy violated a constitutional right, and the policy amounts to deliberate indifference to that right. Inmates have ""a First Amendment right to send and receive mail."" Witherow v. Paff, 52 F.3d 264, 265 (9th Cir. 1995) (per curiam); see also Nordstrom v. Ryan, 856 F.3d 1265, 1271 (9th Cir. 2017). Prison officials may restrict that right only so long as the regulation imposed is ""reasonably related to legitimate penological interests."" Turner v. Safley, 482 U.S. 78, 89, 107 S. Ct. 2254, 96 L. Ed.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#39",""
"2d 611 (1978). ""In particular, municipalities may be liable under § 1983 for constitutional injuries pursuant to (1) an official policy; (2) a pervasive practice or custom; (3) a failure to train, supervise, or discipline; or (4) a decision or act by a final policymaker."" Horton v. City of Santa Maria, 915 F.3d 592, 602-03 (9th Cir. 2019). To impose liability, a section 1983 plaintiff must prove: ""(1) [the plaintiff] had a constitutional right of which he was deprived; (2) the municipality had a policy; (3) the policy amounts to deliberate indifference to [the plaintiff's] constitutional right; and (4) the policy is the moving force behind the constitutional violation."" Gordon v. County of Orange, 6 F.4th 961, 973 (9th Cir. 2021) (internal quotation marks and citation omitted). During the relevant time period, WCDF had a postcard-only policy for non-privileged personal inmate mail.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#38",""
"2d 64 (1987). In Turner v. Safley, the Supreme Court set forth four factors are court looks at in determining the reasonableness of the regulation: (1) whether there is a valid, rational connection between the regulation and the legitimate government objective behind it; (2) whether alternative means of exercising the right remain available; (3) the impact of an accommodation on prison staff, prison resources, and other inmates; and (4) whether there are ready alternatives that could further the government's objective, and which would suggest that the regulation was an exaggerated response. Id. at 90-91.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#40",""
"Defendants identify the primary objective of the postcard only policy was to prevent smuggling of contraband into the jail in order to promote safety and security of the inmates and staff. The secondary objective was to promote efficiency in mail delivery. The first Turner factor looks at whether there is a valid, rational connection between the regulation and the legitimate government objective behind it.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#41",""
"Smuggling of contraband into the prison is an obvious safety and security risk facing jails and prisons. This includes the smuggling of illegal drugs/controlled substances into the facility through the mail. WCDF has experienced drugs/controlled substances entering the jail through the mail.","Smith v. Washoe Cnty., 2023 U.S. Dist. LEXIS 233396#42",""
