"input text","origin case+#chunk","output text"
"A similar result occurs with the legal practice. As with veterinary medicine, states restrict who may practice law. A person cannot engage in the practice of law without a law license, and in most states, such as in Texas, a person cannot obtain a license without passing the bar exam.","Hines v. Pardue, 688 F. Supp. 3d 522#132",""
"Tex. Rules Govern. Bar Adm'n R. II(6) (2021). For the state to determine whether an unlicensed individual has engaged in the unauthorized practice of law by providing legal advice to other persons, the state must analyze the individual's communications.","Hines v. Pardue, 688 F. Supp. 3d 522#133",""
"Under Hines's analysis, the need to review those communications would render the statute a content-based restriction of the individual's speech. Of course, courts have rejected this position. See Osborne v. Travis Cnty., 638 Fed. App'x 290, 293 (5th Cir. 2016) (finding that requiring individuals to pass the bar exam to practice law did not present ""a plausible constitutional violation"", despite the plaintiff's attempt to frame the regulation as violating the First Amendment right to free speech); see also Doyle v. Palmer, 365 F. Supp. 3d 295, 304 (E.D.N.Y.), aff'd, 787 F. App'x 794 (2d Cir. 2019) (finding New York's sponsor affidavit requirement for bar admission did not violate the plaintiff's free speech rights).","Hines v. Pardue, 688 F. Supp. 3d 522#134",""
"In light of Hines's unworkable test, and because the Board does not restrict Hines's speech based on viewpoint or on the topics or subject matter discussed when providing veterinary advice, the Court concludes that the Examination Requirement represents a content-neutral regulation of speech.12 As a result, the Court will apply intermediate scrutiny. 3. Intermediate Scrutiny In constitutional law, ""intermediate scrutiny"" ordinarily requires a challenged law to be ""substantially related to an important governmental objective."" Clark v. Jeter, 486 U.S. 456, 461, 108 S. Ct. 1910, 100 L. Ed.","Hines v. Pardue, 688 F. Supp. 3d 522#135",""
"2d 465 (1988) (describing the intermediate scrutiny standard in a claim under the Equal Protection Clause); see also NIFLA, 138 S. Ct. at 2375 (requiring the government to show a regulation is ""sufficiently drawn to achieve"" a ""substantial"" interest to survive intermediate scrutiny). In the context of the Free Speech Clause, courts have applied varying iterations of intermediate scrutiny to different types of speech. These standards are similar, with some distinctions.","Hines v. Pardue, 688 F. Supp. 3d 522#136",""
"Cent. Hudson Gas & Elec. Corp. v. Pub.","Hines v. Pardue, 688 F. Supp. 3d 522#138",""
"For example, regulations of expressive conduct are ""sufficiently justified if"" the regulation: (1) ""is within the constitutional power of the Government""; (2) ""furthers an important or substantial governmental interest""; (3) ""the governmental interest is unrelated to the suppression of free expression""; and (4) ""the incidental restriction on alleged First Amendment freedoms is no greater than is essential to the furtherance of that interest."" United States v. O'Brien, 391 U.S. 367, 377, 88 S. Ct. 1673, 20 L. Ed. 2d 672 (1968). When analyzing restrictions on commercial speech, courts require that the government: (1) ""assert a substantial interest to be achieved by restrictions on commercial speech""; (2) show that ""the restriction [] directly advance[s] the state interest involved""; and (3) that the ""speech restrictions [are] 'narrowly drawn'"".","Hines v. Pardue, 688 F. Supp. 3d 522#137",""
"Serv. Comm'n of N.Y., 447 U.S. 557, 564-65, 100 S. Ct. 2343, 65 L. Ed. 2d 341 (1980) (quoting In re Primus, 436 U.S. 412, 438, 98 S. Ct. 1893, 56 L. Ed.","Hines v. Pardue, 688 F. Supp. 3d 522#139",""
"2d 417 (1978)); see also Fla. Bar v. Went For It, Inc., 515 U.S. 618, 623-24, 115 S. Ct. 2371, 132 L. Ed. 2d 541 (1995). With respect to the second prong of the Central Hudson standard, the government cannot rely on ""mere speculation or conjecture"", but must show evidence of ""real"" harm that the restriction materially alleviates.","Hines v. Pardue, 688 F. Supp. 3d 522#140",""
"Edenfield v. Fane, 507 U.S. 761, 770-71, 113 S. Ct. 1792, 123 L. Ed. 2d 543 (1993). Courts also apply intermediate scrutiny to time, place, or manner restrictions effectuated through content-neutral regulations.","Hines v. Pardue, 688 F. Supp. 3d 522#141",""
"See Reagan Nat'l II, 142 S. Ct. at 1475 (describing the inquiry for time, place, or manner restrictions as ""intermediate scrutiny""). ""A content-neutral regulation will be sustained under the First Amendment if it advances important governmental interests unrelated to the suppression of free speech and does not burden substantially more speech than necessary to further those interests."" NetChoice, L.L.C. v. Paxton, 49 F.4th 439, 482 (5th Cir. 2022) (quoting Turner Broad. Sys., Inc. v. F.C.C. (Turner II), 520 U.S. 180, 189, 117 S. Ct. 1174, 137 L. Ed. 2d 369 (1997)); see also Reagan Nat'l Adver. of Austin, Inc. v. City of Austin (Reagan Nat'l III), 64 F.4th 287, 293 (5th Cir. 2023) (explaining that under ""intermediate scrutiny"" any ""restriction on speech or expression must be narrowly tailored to serve a significant governmental interest"" (cleaned up)).","Hines v. Pardue, 688 F. Supp. 3d 522#142",""
"In the present matter, at the motion to dismiss stage, the Board presented its alternative argument that if intermediate scrutiny applied, the O'Brien test would control because the Examination Requirement regulated only conduct. (Board R&R Objs., Doc. 66, 8-9) But this position suffers from two deficiencies. First, the Court has determined that as applied to Hines, the Examination Requirement regulates pure speech, rendering the O'Brien test for expressive conduct inapplicable.","Hines v. Pardue, 688 F. Supp. 3d 522#143",""
"In addition, courts appear to apply the O'Brien test only where the action at issue was not written or spoken word. See, e.g., Texas v. Johnson, 491 U.S. 397, 403, 109 S. Ct. 2533, 105 L. Ed. 2d 342 (1989) (flag burning); Littlefield v. Forney Indep.","Hines v. Pardue, 688 F. Supp. 3d 522#144",""
