"input text","origin case+#chunk","output text"
"The Court concludes that the ECF and URF Defendants (Defendants Burgess, Erway, Bassett, John Doe #3, O'Brien, Bearup, Ward, Goodspeed, Thomas, Bennett, McColl, Anderson, Corrigan, Pawley, Jane Doe #4, Miller, and John Doe #4), as well as Defendant Bishop, are misjoined. The Court, therefore, will drop these Defendants as parties and dismiss Plaintiff's claims against them without prejudice. Moreover, having conducted the review required by the PLRA with respect to the remaining Defendants and claims, the Court determines that Plaintiff's federal claims against Defendants Parrish, Haddon, Garza-Martin, Aiken, Jane Doe #1, Barrett, S. Gregurek, Langdon, Ritter, Macauley, Robinson, Chauvez, Simpson, Yuki, Addis, Lewis, Page, Moyer, Proctor, Johnson, Walezak, Jones, Brokaw, Athearn, and Russell will be dismissed for failure to state a claim.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#178",""
"The Court will dismiss any state law claims against those individuals without prejudice because the Court declines to exercise supplemental jurisdiction over such claims. The Court will also dismiss, for failure to state a claim, the following claims against Defendants Ruth Brown, John Doe #1, John Doe #2, Rowland, Gilbert, and Larry Brown: (1) Plaintiff's official capacity claims; and (2) Plaintiff's civil conspiracy claims. The following individual capacity claims remain in the case: (1) Plaintiff's First Amendment retaliation claims against Defendants Ruth Brown, John Doe #1, John Doe #2, Rowland, Gilbert, and Larry Brown; (2) Plaintiff's Eighth Amendment sexual abuse/harassment claims against Defendant Ruth Brown; (3) Plaintiff's Eighth Amendment failure to protect claims against Defendants John Does #1 and #2.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#179",""
"Plaintiff's state law claims against Defendants Ruth Brown, John Doe #1, John Doe #2, Rowland, Gilbert, and Larry Brown also remain in the case. An order consistent with this opinion will be entered. Dated: November 16, 2023 /s/ Hala Y. Jarbou HALA Y. JARBOU CHIEF UNITED STATES DISTRICT JUDGE ORDER OF PARTIAL DISMISSAL In accordance with the opinion issued this date: IT IS ORDERED that Defendants Burgess, Erway, Bassett, John Doe #3, O'Brien, Bearup, Ward, Goodspeed, Thomas, Bennett, McColl, Anderson, Corrigan, Pawley, Jane Doe #4, Miller, John Doe #4, and Bishop are dropped as parties, and Plaintiff's claims against them are DISMISSED WITHOUT PREJUDICE pursuant to Rule 21 of the Federal Rules of Civil Procedure.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#180",""
"IT IS FURTHER ORDERED that Plaintiff's federal claims against Defendants Parrish, Haddon, Garza-Martin, Aiken, Jane Doe #1, Barrett, S. Gregurek, Langdon, Ritter, Macauley, Robinson, Chauvez, Simpson, Yuki, Addis, Lewis, Page, Moyer, Proctor, Johnson, Walezak, Jones, Brokaw, Athearn, and Russell are DISMISSED WITH PREJUDICE for failure to state a claim pursuant to 28 U.S.C. §§ 1915A and 1915(e)(2), and 42 U.S.C. § 1997e(c). IT IS FURTHER ORDERED that Plaintiff's state law claims against Defendants Parrish, Haddon, Garza-Martin, Aiken, Jane Doe #1, Barrett, S. Gregurek, Langdon, Ritter, Macauley, Robinson, Chauvez, Simpson, Yuki, Addis, Lewis, Page, Moyer, Proctor, Johnson, Walezak, Jones, Brokaw, Athearn, and Russell are DISMISSED WITHOUT PREJUDICE because the Court declines to exercise supplemental jurisdiction over such claims. IT IS FURTHER ORDERED that Plaintiff's official capacity claims and civil conspiracy claims against Defendants Ruth Brown, John Doe #1, John Doe #2, Rowland, Gilbert, and Larry Brown are DISMISSED WITH PREJUDICE for failure to state a claim pursuant to 28 U.S.C. §§ 1915A and 1915(e)(2), and 42 U.S.C. § 1997e(c).","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#181",""
"Dated: November 16, 2023 /s/ Hala Y. Jarbou HALA Y. JARBOU CHIEF UNITED STATES DISTRICT JUDGE End of Document","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#182",""
"MATHESON, Circuit Judge. Defendant-Appellant Shannon Kepler appeals his conviction for causing death by discharging a firearm during a crime of violence in violation of 18 U.S.C. § 924(j)(1). Exercising jurisdiction under 28 U.S.C. § 1291, we affirm.","United States v. Kepler, 74 F.4th 1292#1",""
"I. BACKGROUND A. Factual History1 Mr. Kepler and his wife Gina Kepler both worked as officers for the Tulsa Police Department. During the summer of 2014, the Keplers began to experience conflict with their 18-year-old adopted daughter, Lisa.2 Lisa was acting out, fighting with their other children, and engaging in other rebellious behavior.","United States v. Kepler, 74 F.4th 1292#2",""
"Mr. Kepler gained access to Lisa's Facebook account to monitor her activity. Eventually, the Keplers kicked Lisa out of their home and dropped her off at a homeless shelter.","United States v. Kepler, 74 F.4th 1292#3",""
"Mr. Kepler continued to monitor Lisa's Facebook account and discovered she was dating a man named Jeremey Lake. Using police department resources, Mr.","United States v. Kepler, 74 F.4th 1292#4",""
"Kepler armed himself with his personal revolver and drove his SUV to Mr. Lake's address. He spotted Lisa and Mr.","United States v. Kepler, 74 F.4th 1292#6",""
