"input text","origin case+#chunk","output text"
"United States v. Williamson, 53 F.3d 1500, 1523 (10th Cir. 1995). The Government's questions were otherwise proper. Mr.","United States v. Kepler, 74 F.4th 1292#196",""
"Kepler tries to frame the questions as seeking lay testimony from Mr. Kepler about the credibility of other witnesses. But they more accurately reflect the prosecution's efforts to show that Mr.","United States v. Kepler, 74 F.4th 1292#197",""
"Kepler's account was at odds with the testimony of others. As noted, Mr. Kepler's testimony that Mr.","United States v. Kepler, 74 F.4th 1292#198",""
"Lake pointed a chrome pistol at him flatly contradicted the testimony from the Government's witnesses, who testified that they had never seen Mr. Lake with a handgun, that he did not draw a handgun when Mr. Kepler confronted him, or both.","United States v. Kepler, 74 F.4th 1292#199",""
"See ROA, Vol. I at 474, 558, 567-68, 573, 626-27, 636-37, 643-44, 646, 749, 774, 792-93, 813, 826, 925, 928-29, 939. To accept Mr.","United States v. Kepler, 74 F.4th 1292#200",""
"Kepler's testimony would thus mean, as the prosecutor said, that the other witnesses who saw the shooting were ""inaccurate or lying."" ROA, Vol. I at 1286. Further, the challenged questions were a ""small fraction"" of Mr.","United States v. Kepler, 74 F.4th 1292#201",""
"Kepler's testimony, Coulter, 57 F.4th at 1184, and underscored a point that was already clear—that other witnesses contradicted Mr. Kepler's testimony. Thus, Mr.","United States v. Kepler, 74 F.4th 1292#202",""
"Kepler has again failed to show any likelihood that ""the c[onduct] affected the jury's verdict"" in light of ""the trial as a whole."" Christy, 916 F.3d at 826 (quotations omitted).24 c. The Government's closing argument i. Additional procedural background The Government introduced expert testimony on various forms of forensic evidence to show that Mr.","United States v. Kepler, 74 F.4th 1292#203",""
"Lake had not drawn or possessed a weapon when Mr. Kepler shot him. For example, it presented blood spatter evidence suggesting that Mr.","United States v. Kepler, 74 F.4th 1292#204",""
"Lake had tried to run away after Mr. Kepler drew his gun, see ROA, Vol. I at 994; bloodstains on Mr.","United States v. Kepler, 74 F.4th 1292#205",""
"Lake's hands showing that he was not holding anything when Mr. Kepler shot him, id. at 997; and a DNA profile obtained from the chrome pistol, which ""excluded"" Mr. Lake as a contributor.","United States v. Kepler, 74 F.4th 1292#206",""
"Id. at 1094. Mr. Kepler contends the prosecutor improperly referred to this evidence in his closing argument.","United States v. Kepler, 74 F.4th 1292#207",""
"1) Discussion of physical evidence taken from Mr. Lake During closing argument, the prosecutor delivered what Mr. Kepler describes as a ""soliloquy from the perspective of the victim."" Aplt.","United States v. Kepler, 74 F.4th 1292#208",""
"Br. at 29. Specifically, the prosecutor discussed inferences he believed the jury could make from physical evidence taken from Mr. Lake's corpse.","United States v. Kepler, 74 F.4th 1292#209",""
"The challenged portion of the closing argument reads in full as follows: What did Jeremey Lake tell you? No, I'm not crazy. I know that Jeremey Lake is deceased.","United States v. Kepler, 74 F.4th 1292#210",""
"But nonetheless Jeremey Lake told you things. Jeremey Lake told you the defendant said, I had a gun out, that I had recovered a shiny semiautomatic handgun from my pocket and had already pulled it out, but my head wounds tell you that that's not what happened. I did not have my hands out.","United States v. Kepler, 74 F.4th 1292#211",""
"I did not try to break my fall. My head broke my fall. Jeremey Lake himself told you that.","United States v. Kepler, 74 F.4th 1292#212",""
"The defendant said that he shot at Jeremey Lake and that Jeremey Lake then ran at him. Jeremey Lake told you with his blood that he was running away. The defendant said that it was a shiny semiautomatic handgun that I had in my hand that day.","United States v. Kepler, 74 F.4th 1292#213",""
"I used every drop of blood in my heart to tell you that this gun was not at the scene. Jeremey Lake told you by the blood patterns and the voids on his hands and in other locations, I did not have a gun, my hands were on my chest. ROA, Vol.","United States v. Kepler, 74 F.4th 1292#214",""
"I at 1351. 2) Characterization of expert testimony Also during closing argument, the prosecutor discussed the absence of physical evidence connecting the chrome handgun found in the Tulsa Police Department trashcan to Mr. Lake.","United States v. Kepler, 74 F.4th 1292#215",""
"He summarized the expert testimony as follows: The professionals told you that there w[ere] no prints or DNA on the shiny semiautomatic handgun at all. The professionals told you that Jeremey's DNA was not on the defendant's gun. He was excluded as being the person whose DNA was there; the defendant, again, not surprisingly, was not excluded.","United States v. Kepler, 74 F.4th 1292#216",""
"What the professionals told you in sum is, that Jeremey Lake did not have a gun. ROA, Vol. I at 1350 (emphasis added). ii.","United States v. Kepler, 74 F.4th 1292#217",""
"Analysis 1) Discussion of physical evidence taken from Mr. Lake The prosecutor's monologue from the perspective of Mr. Lake was unusual but not plainly improper.","United States v. Kepler, 74 F.4th 1292#218",""
"It fell within the prosecutor's leeway to make ""forceful, colorful, or dramatic"" closing arguments. Gregory, 54 F.4th at 1210-11 (quotations omitted). Mr.","United States v. Kepler, 74 F.4th 1292#219",""
"Kepler has failed to present any Supreme Court or Tenth Circuit authority suggesting that a prosecutor may never speak from the perspective of the victim. He therefore has not shown plain error. He cites Drayden v. White, 232 F.3d 704 (9th Cir. 2000), which is factually inapposite.","United States v. Kepler, 74 F.4th 1292#220",""
"In Drayden, the prosecutor sat in the witness chair, acted like the victim, and delivered a prolonged and impassioned monologue where he editorialized about the victim's good character. Id. at 711-13. After finding this improper, the Ninth Circuit declined to ""adopt a per se rule that a prosecutor's 'testimony' in the voice of the victim during closing argument violates a defendant's due process rights."" Id. at 713 (""[I]n a particular case, a prosecutor's brief excursion into a dramatic role could be wholly innocuous."").","United States v. Kepler, 74 F.4th 1292#221",""
"The prosecutor's use of Mr. Lake's persona did not ""encourag[e] the jury to allow victim sympathy to influence its decision"" or ""distort[] the record."" Christy, 916 F.3d at 825. Instead, he focused on the factual inferences the jury could draw from the physical evidence derived from Mr.","United States v. Kepler, 74 F.4th 1292#222",""
"Lake's corpse. ROA, Vol. I at 1350.","United States v. Kepler, 74 F.4th 1292#223",""
"For example, he discussed the blood spatter patterns showing that Mr. Lake was running away when Mr. Kepler shot him, the forensic analysis showing that Mr.","United States v. Kepler, 74 F.4th 1292#224",""
"Lake was not holding anything when he died, and the absence of any handgun from the scene of the crime. Although some of these statements used arguably emotional or inflammatory language, they accurately summarized the evidence, and Mr. Kepler has not shown that they were plainly improper.","United States v. Kepler, 74 F.4th 1292#225",""
"Finally, Mr. Kepler has not shown a reasonable likelihood that the prosecutor's monologue influenced the outcome of the trial. As discussed, the central issue in the case was whether Mr.","United States v. Kepler, 74 F.4th 1292#226",""
"Lake pulled a gun—as Mr. Kepler claimed—or whether he was unarmed. The evidence that Mr.","United States v. Kepler, 74 F.4th 1292#227",""
