"input text","origin case+#chunk","output text"
"Q: Did you say anything to him in that transfer about how much money there was there? A: Yes, I believe we heard the conversation yesterday. Q: Did you communicate with him in advance that it was going to be 277 titles?","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#61",""
"A: I don't remember, but it's possible, yes. Q: Well, why would you be using code words like ""titles""? A: I didn't use the word ""title,"" he used the word ""title."" Q: Why not just say 277,000 in cash?","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#62",""
"A: Because you don't say that over the phone. Q: Why? A: Because it's not -- the phones could be tapped, traced, whatever, so just don't talk like that on the phone.","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#63",""
"Q: And the worry that it might be tapped or traced is because police would be looking at illegal activity. Isn't that right? A: Sir, yes, I already agreed to that, the money could be from illegal activity, yes.","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#64",""
"Q: Would you agree that it would be likely from criminal activity? A: Most likely, yes. Q: And you know that most likely this money was criminal activity funds.","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#65",""
"Right? A: Yes, sir. (Id. at 105-07.) Sherman's own testimony establishes that he was objectively aware of the high probability that the funds were proceeds of criminal activity and deliberately avoided learning the true facts. Thus, the court finds that a reasonable juror could have found that Sherman was willfully blind about the likelihood that the money he transported was proceeds from unlawful activity as well as the covert nature of the transportation of the funds using couriers as a favor to his brother in Mexico.","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#66",""
"Reviewing the record in the light most favorable to the Government, as is required, the court concludes that any rational trier of fact could have found proof beyond a reasonable doubt on these three money laundering counts based on the available evidence. Therefore, Sherman's motion for judgment of acquittal on Counts 1, 3, and 5 will be denied. 2.","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#67",""
"Money Laundering to Avoid Reporting Requirements As to Counts 2, 4, and 6, the Government was required to prove: (1) the defendant attempted to transport or transfer a monetary instrument or funds; (2) the defendant's attempted transportation or transfer was from a place in the United States to or through a place outside the United States; (3) the defendant knew that the monetary instrument or funds involved in the transportation or transfer represented the proceeds of some form of unlawful activity; and (4) the defendant knew that the transportation or transfer of funds was designed in whole or in part to avoid a transaction reporting requirement under State or Federal law. 18 U.S.C. § 1956(a)(2)(B)(ii). On these counts, Sherman argues that no reasonable juror could have found that these elements were proved beyond a reasonable doubt for the following reasons: (1) the Government did not prove any source for the funds transferred or that Sherman was aware of an illegal source as raised in the preceding argument; (2) the Government did not provide any evidence that Sherman broke any law involving any state or federal reporting requirement, and the statute does not consider violations of Mexican requirements, if any; (3) the mere transfer of money between two people does not itself generate a reporting requirement; (4) at trial, the Government did not identify any specific reporting requirement violated by Sherman's actions; (5) there was no evidence from the IRS or any source that Sherman transferred the ""proceeds of unlawful activity"" through any United States or Mexican bank; (6) the Government did not produce evidence to prove Sherman knew that the purpose of handing the money to the informant was to avoid a reporting requirement; and (7) the Government did not establish that Sherman was required to put any of the money in a bank where it might be subject to regulation. (Doc.","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#68",""
"150, pp. 6-7.) In response, the Government argues that there was testimony that those who carry $10,000 or more in cash across the border are required to file a report, and deposits of $10,000 or more in cash into the banking system in the United States require similar reporting. (Doc. 153, p.","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#69",""
"23.) Additionally, the Government points to the testimony from law enforcement witnesses about the pervasiveness of smuggling cash into Mexico and their investigations and task forces focusing on such activities. (Id. at 24.) The Government highlights this testimony, as well as Ruben Martin's testimony about his involvement with DTOs in arguing that avoiding federal and state financial reporting requirements is a necessary part of the international drug trafficking business, and that a jury could infer that Sherman and his cohorts were trying to avoid such requirements. (Id.) Therefore, the Government contends that Sherman's motion for a new trial on these counts should be denied. Notwithstanding the arguments presented regarding the sufficiency of the evidence regarding the money laundering counts, the court ordered the parties to address the authority in United States v. Navarro, 145 F.3d 580 (3d Cir. 1998), as well as persuasive authority from other Circuit Courts, as to whether subsections (a)(2)(B)(i) and (a)(2)(B)(ii) of 18 U.S.C. § 1956 are separate offenses or separate means of committing a single offense. (Doc. 176, pp.","United States v. Sherman, 2023 U.S. Dist. LEXIS 140980#70",""
