"input text","origin case+#chunk","output text"
"2d 202 (1986). However, although the Court views all the underlying facts and inferences in the record in the light most favorable to the non-moving party, the non-moving ""party nonetheless must offer some 'concrete evidence from which a reasonable juror could return a verdict in his [or her] favor.'"" Williams v. Genex Servs., LLC, 809 F.3d 103, 109 (4th Cir. 2015) (quoting Anderson, 477 U.S. at 256). That is to say, the existence of a mere scintilla of evidence in support of the plaintiff's position is insufficient to withstand the summary judgment motion.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#56",""
"Anderson, 477 U.S. at 252. Likewise, conclusory or speculative allegations or denials, without more, are insufficient to preclude the granting of the summary judgment motion. Thompson v. Potomac Elec.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#57",""
"Power Co., 312 F.3d 645, 649 (4th Cir. 2002). ""Only disputes over facts that might affect the outcome of the suit under the governing law will properly preclude the entry of summary judgment. Factual disputes that are irrelevant or unnecessary will not be counted."" Anderson, 477 U.S. at 248. To survive summary judgment, the non-movant must provide evidence of every element essential to his action on which he will bear the burden of proving at a trial on the merits.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#58",""
"Celotex Corp., 477 U.S. at 322. Additionally, pro se filings are to be ""liberally construed"" and a pro se complaint, ""however inartfully pleaded, must be held to less stringent standards than formal pleadings drafted by lawyers[.]"" Erickson v. Pardus, 551 U.S. 89, 94, 127 S. Ct. 2197, 167 L. Ed. 2d 1081 (2007) (internal quotation marks and citations omitted).","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#59",""
"This ""[l]iberal construction of the pleadings is particularly appropriate where, as here, there is a pro se complaint raising civil rights issues."" Smith v. Smith, 589 F.3d 736, 738 (4th Cir. 2009) (citation omitted); Williamson v. Stirling, 912 F.3d 154, 173 (4th Cir. 2018) (noting ""we are obliged to construe [a complaint's] allegations liberally and with the intent of doing justice""). However, the requirement of liberal construction does not mean that the court can assume the existence of a genuine issue of material fact when none exists. See United States v. Wilson, 699 F.3d 789, 797 (4th Cir. 2012); Weller v. Dep't of Soc.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#60",""
"Servs., 901 F.2d 387, 391 (4th Cir. 1990) (""The 'special judicial solicitude' with which a district court should view such pro se complaints does not transform the court into an advocate.""). III. DISCUSSION Plaintiff's Complaints in LeDay I and LeDay II allege the following claims pursuant to 42 U.S.C. § 1983: (1) deliberate indifference to Plaintiff's conditions of confinement for the alleged ""solitary confinement,"" including not providing him reading material; (2) deliberate indifference to Plaintiff's conditions of confinement, as against Capt.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#61",""
"Clarey and ""Maj/Dir"" for allegedly not providing Plaintiff a mattress; and (3) excessive force arising from the use of the taser as against Sgt. Glover. A. Claims Against Defendants in their Official Capacities Plaintiff asserts claims against all Defendants in their official capacities, in addition to their individual capacities.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#62",""
"LeDay I, ECF No. 1 at 2-3; LeDay II, ECF No. 1 at 2-3. The United States Supreme Court has long held the Eleventh Amendment precludes suits against a state by one of its own citizens. See Edelman v. Jordan, 415 U.S. 651, 662-63, 94 S. Ct. 1347, 39 L. Ed.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#63",""
"2d 662 (1974). This immunity extends not only to suits against a state per se, but also to suits against agents and instrumentalities of the state. Cash v. Granville Cnty.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#64",""
"Bd. of Ed., 242 F.3d 219, 222 (4th Cir. 2001); see Kentucky v. Graham, 473 U.S. 159, 165-66, 105 S. Ct. 3099, 87 L. Ed. 2d 114 (1985) (holding that, as against a governmental employee, ""an official-capacity suit is, in all respects other than name, to be treated as a suit against the entity""). It is well settled that a sheriff and his or her deputies are arms of the state, not municipal departments.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#65",""
"See Gulledge v. Smart, 691 F. Supp. 947, 954-55 (D.S.C. 1988) (finding that a South Carolina sheriff is a state official), aff'd, 878 F.2d 379 (4th Cir. 1989); see also Taylor v. McGhaney, No. 2:18-CV-0264-CMC-MGB, 2019 U.S. Dist. LEXIS 223926, 2019 WL 7461624, at *4 (D.S.C. Dec. 6, 2019) (""The Sheriff's Office is considered a state agency for the purposes of Plaintiff's [§ 1983] claims""), report and recommendation adopted, 2020 U.S. Dist. LEXIS 1031, 2020 WL 42862 (D.S.C. Jan. 3, 2020); Cone v. Nettles, 308 S.C. 109, 417 S.E.2d 523, 524 (S.C. 1992) (holding that, for § 1983 purposes, sheriffs and deputies are state officials). By the same token, because they are considered a part of the state, Defendants — in their official capacities — are not ""person[s]"" within the meaning of 42 U.S.C. § 1983. See Will v. Michigan Dep't of State Police, 491 U.S. 58, 65-67, 109 S. Ct. 2304, 105 L. Ed.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#66",""
"2d 45 (1989). Accordingly, the undersigned recommends that Plaintiff's claims for money damages against Defendants in their official capacities be dismissed. See Smith v. Koon, No. 3:19-2155-JMC-SVH, 2020 U.S. Dist. LEXIS 138266, 2020 WL 4437982, at *7 (D.S.C. Aug. 3, 2020) (recommending summary judgment and dismissal of official capacity claims against Sheriff's deputies), adopted in part and rejected in part on other grounds, 2021 U.S. Dist. LEXIS 58735, 2021 WL 1172692 (D.S.C. Mar. 29, 2021).","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#67",""
"B. Claim Against Dir. Johnson Plaintiff has named Dir. Johnson as a defendant in C/A No. 9:21-cv-04030-DCC-MHC.","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#68",""
"Plaintiff's only allegation arguably directed at Dir. Johnson is that a ""Capt/Maj/Dir."" ordered Plaintiff's mattress to be taken from him. ECF No. 1 at 7. ""The law is clear that personal participation of a defendant is a necessary element of a § 1983 claim against a government employee in his personal capacity."" Campbell v. City of N. Charleston, No. 2:20-cv-00959-RMG, 2020 U.S. Dist. LEXIS 91542, 2020 WL 2723487, at *2 (D.S.C. May 26, 2020) (citing Trulock v. Freeh, 275 F.3d 391, 402 (4th Cir. 2001)).","LeDay v. Clarey, 2023 U.S. Dist. LEXIS 133630#69",""
