"input text","origin case+#chunk","output text"
"However, Plaintiff alleges no facts from which the Court could plausibly infer that Defendants Rowland, Gilbert, and Larry Brown took these actions because of Plaintiff's grievances and PREA complaint concerning Defendant Ruth Brown. The actions alleged to have been taken by Defendants Rowland, Gilbert, and Larry Brown took place in 2022, well more than two years after Plaintiff filed his grievances and PREA complaint against Defendant Ruth Brown. Plaintiff, however, does allege that after he filed his grievance concerning his continued placement on STG status, Defendants Rowland, Gilbert, and Larry Brown issued the Class II misconduct and told Plaintiff that he would be remaining on STG status ""for reasons unrelated to STG Policy."" (ECF No. 1, PageID.16.) Although Plaintiff has by no means proven a retaliatory motive, taking the facts alleged in the light most favorable to him, the Court concludes that Plaintiff's First Amendment retaliation claims against Defendants Rowland, Gilbert, and Larry Brown cannot be dismissed on screening. b.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#78",""
"Interference with Mail The Court has construed Plaintiff's complaint to assert a First Amendment claim regarding interference with incoming mail. Plaintiff alleges that on or around May 15, 2022, Defendants Simpson, Lewis, Page, Moyer, Proctor, and Johnson were involved in the confiscation and destruction of a book sent to Plaintiff from Amazon. (ECF No. 1, PageID.17.) ""A prisoner's right to receive mail is protected by the First Amendment."" Knop v. Johnson, 977 F.2d 996, 1012 (6th Cir. 1992) (citing Pell v. Procunier, 417 U.S. 817, 822, 94 S. Ct. 2800, 41 L. Ed. 2d 495 (1974)). ""Mail is one medium of free speech, and the right to send and receive mail exists under the First Amendment."" Al-Amin v. Smith, 511 F.3d 1317, 1333 (11th Cir. 2008) (citing City of Cincinnati v. Discovery Network, Inc., 507 U.S. 410, 427, 113 S. Ct. 1505, 123 L. Ed.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#79",""
"2d 99 (1993)). A prisoner, however, retains only those First Amendment freedoms which are ""not inconsistent with his status as a prisoner or with legitimate penological objectives of the corrections systems."" Martin v. Kelley, 803 F.2d 236, 240 n.7 (6th Cir. 1986) (quoting Pell, 417 U.S. at 822); see Turner v. Safley, 482 U.S. 78, 107 S. Ct. 2254, 96 L. Ed. 2d 64 (1987).","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#80",""
"Plaintiff's claim is vague, and he does not describe how each named Defendant was personally involved in the confiscation and destruction of the book. Further, ""isolated instances of interference with prisoners' mail"" may not rise to the level of a constitutional violation under the First Amendment. See Johnson v. Wilkinson, No. 98-3866, 2000 U.S. App. LEXIS 21036, 2000 WL 1175519 (6th Cir. Aug. 11, 2000) (""This random and isolated interference with Johnson's mail did not violate his constitutional rights."" (citation omitted)); see also Gardner v. Howard, 109 F.3d 427, 431 (8th Cir. 1997) (holding that an ""isolated incident, without any evidence of improper motive or resulting interference with [the inmate's] right to counsel or to access to the courts, does not give rise to a constitutional violation"" (citations omitted)); Okoro v. Scibana, 63 F. App'x 182, 184 (6th Cir. 2003) (stating that ""Okoro was only able to provide one specific incident where he allegedly did not receive the full contents of a letter from his wife,"" and concluding that ""[s]uch a random and isolated incident is insufficient to establish a constitutional violation"" (citation omitted)); cf.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#81",""
"Colvin v. Caruso, 605 F.3d 282, 293 (6th Cir. 2010) (citing Johnson for the holding that ""isolated interference"" with prisoners' rights may not rise to the level of a First Amendment violation). Because Plaintiff alleges only that Defendants Simpson, Lewis, Page, Moyer, Proctor, and Johnson confiscated Plaintiff's incoming mail on one occasion, he fails to set forth an interference with mail claim that rises to the level of a First Amendment violation. Plaintiff's First Amendment interference with mail claim against Defendants Simpson, Lewis, Page, Moyer, Proctor, and Johnson will, therefore, be dismissed. c.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#82",""
"The principal issue in Bounds was whether the states must protect the right of access to the courts by providing law libraries or alternative sources of legal information for prisoners. Id. at 817. The Court further noted that in addition to law libraries or alternative sources of legal knowledge, the states must provide indigent inmates with ""paper and pen to draft legal documents, notarial services to authenticate them, and with stamps to mail them."" Id. at 824-25.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#84",""
"Access to the Courts The Court has construed Plaintiff's complaint to assert a First Amendment access to the courts claim against Defendant Yuki premised upon his allegation that on June 7, 2022, Defendant Yuki ""purposely discard[ed] the documents Plaintiff was attempting to copy for the grievance against the Mailroom."" (ECF No. 1, PageID.17-18.) According to Plaintiff, camera footage would show Defendant Yuki ""thumb[ing] through the documents before leaving Plaintiff's cell door."" (Id.) Plaintiff claims this was to deter Plaintiff from exhausting his administrative remedies. (Id., PageID.18.) It is well established that prisoners have a constitutional right of access to the courts. Bounds v. Smith, 430 U.S. 817, 821, 97 S. Ct. 1491, 52 L. Ed. 2d 72 (1977).","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#83",""
"The right of access to the courts also prohibits prison officials from erecting barriers that may impede the inmate's access to the courts. See Knop v. Johnson, 977 F.2d 996, 1009 (6th Cir. 1992). An indigent prisoner's constitutional right to legal resources and materials is not, however, without limit.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#85",""
"In order to state a viable claim for interference with his access to the courts, a plaintiff must show ""actual injury."" Lewis v. Casey, 518 U.S. 343, 349, 116 S. Ct. 2174, 135 L. Ed. 2d 606 (1996); see also Talley-Bey v. Knebl, 168 F.3d 884, 886 (6th Cir. 1999); Knop, 977 F.2d at 1000. In other words, a plaintiff must plead and demonstrate that the shortcomings in the prison legal assistance program or lack of legal materials have hindered, or are presently hindering, his efforts to pursue a nonfrivolous legal claim.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#86",""
"Impairment of any other litigating capacity is simply one of the incidental (and perfectly constitutional) consequences of conviction and incarceration. Lewis, 518 U.S. at 355. ""Thus, a prisoner's right to access the courts extends to direct appeals, habeas corpus applications, and civil rights claims only."" Thaddeus-X v. Blatter, 175 F.3d 378, 391 (6th Cir. 1999). Moreover, the underlying action must have asserted a non-frivolous claim.","Summers v. Brown, 2023 U.S. Dist. LEXIS 205228#88",""
