"input text","origin case+#chunk","output text"
"Dissent by: CARDONE (In Part) Dissent CARDONE, District Judge, dissenting in part: I agree with the majority's analysis affirming the district court's imposition of the dangerous-weapons enhancement and join that portion of the opinion in full. However, I respectfully dissent from the majority's decision to vacate and remand for resentencing on the minor-role adjustment. The district court justified its decision to deny Klensch a minor-role adjustment as follows: ""In this particular case, Mr.","United States v. Klensch, 87 F.4th 1159#42",""
"Klensch was the one transporting the individuals. And I don't find that there is sufficient evidence that his role was minor in this case."" There are at least two plausible readings of this admittedly terse explanation. Either one requires us to do some reading between the lines.","United States v. Klensch, 87 F.4th 1159#43",""
"On the first reading, the district court would have found that ""[because] Mr. Klensch was the one transporting the individuals, [he played an essential role, and therefore,] I don't find that there is sufficient evidence that his role was minor in this case."" On the second reading, the district court would have found that ""Mr. Klench was the one transporting the individuals[, and there is very little in the record about the other known participants, so] I don't find that there is sufficient evidence that his role was minor in this case."" I agree with the majority that ""it is just as plausible"" to gather from the district court's two-sentence explanation an invalid rationale for denying minor role as it is to infer a valid one.","United States v. Klensch, 87 F.4th 1159#44",""
"Maj. at 12. At least, so long as that explanation is read in isolation. But more is required to warrant reversal under this Court's precedents. ""We assume district courts know the law and understand their obligation to consider all of the sentencing factors, and they do not have to tick off sentencing factors to show that they considered them."" Maj. at 10 (cleaned up) (quoting Diaz, 884 F.3d at 914, 916).","United States v. Klensch, 87 F.4th 1159#45",""
"To be sure, criminal sentences must be explained ""sufficiently to permit meaningful appellate review,"" and ""[i]t is most helpful for this to come from the bench."" United States v. Carty, 520 F.3d 984, 992 (9th Cir. 2008) (en banc). ""[B]ut adequate explanation in some cases may also be inferred from the PSR or the record as a whole."" Id. Here, when viewed in light of the PSR and the record as a whole, the best reading of the district court's explanation is that Klensch failed to carry his burden of showing he played a minor role. See United States v. Diaz, 884 F.3d 911, 914 (9th Cir. 2018) (""The defendant bears the burden of proving that he or she is entitled to a downward adjustment based on his or her role in the offense."" (cleaned up) (quoting United States v. Cantrell, 433 F.3d 1269, 1282 (9th Cir. 2006))). This was Probation's conclusion in the PSR: ""Based on the available information regarding his role, there is not enough to support that he was substantially less culpable than other participants to support a reduction under USSG § 3B1.2."" And although Klensch objected to Probation's legal conclusion that he should be denied minor role, he made no objection to its factual basis.","United States v. Klensch, 87 F.4th 1159#46",""
"Instead of proffering additional facts about the home inspector or other known participants—about whom the record contains little information—Klensch argued that the facts recounted in the PSR, applied to the minor-role factors, warranted a downward departure.1 The crux of his argument was that he was ""substantially less culpable than the average participant in the criminal activity of migrant smuggling,"" a ""worldwide,"" ""clandestine enterprise."" He offered information about the roles ""typically"" filled in human smuggling operations and argued his own role was minor ""in the big scheme of migrant smuggling."" But none of this is material to a minor-role analysis. ""We have repeatedly held that the relevant comparators are the actual participants in the defendant's crime."" United States v. Dominguez-Caicedo, 40 F.4th 938, 965 (9th Cir. 2022) (collecting cases). And ""by 'actual participants,' we mean only participants for whom there is 'sufficient evidence of their existence and participation.'"" Id. (quoting United States v. Rojas-Millan, 234 F.3d 464, 474 (9th Cir. 2000)). In Dominguez-Caicedo, we affirmed the denial of minor role for one of the three defendants who made similar arguments appealing to ""unknown members of 'a giant, complex drug-trafficking organization' that may have been involved in the manufacture and distribution of the drugs [the defendant] was transporting."" Id. at 965.","United States v. Klensch, 87 F.4th 1159#47",""
"And we affirmed the denial for a second defendant who, like Klensch, failed to object to the omission of factual information about other known participants when challenging the PSR's recommendation to deny minor role for lack of evidence. Id. at 966-67. These decisions would provide firm footing for the district court here to deny Klensch a minor-role adjustment on the ground that he did not carry his burden to show himself substantially less culpable than the average of the other actual participants in the crime.","United States v. Klensch, 87 F.4th 1159#48",""
"Rather than adopt this reasonable view of the impetus for the district court's decision, the Majority sends the case back for a more meticulous explanation. This marks the first time that this Court has remanded for minor-role resentencing on a record that contains no affirmative misstatement of the law by either the district court or the party whose argument the district court adopted.2 In Dominguez-Caicedo, we reversed the denial of minor role for only one of the three defendants, and we did so because the district court had explicitly excluded at least one identified, known participant from consideration. Id. at 963.","United States v. Klensch, 87 F.4th 1159#49",""
"Here, the district court made no such unambiguous misapprehension of law. Instead, as in Diaz, we are confronted with a terse, vague explanation for the minor-role denial. But in Diaz, ""[t]he difficulty [was] that the district court adopted the government's argument with little elaboration, and the government's argument included an incorrect interpretation"" of the sentencing guidelines.","United States v. Klensch, 87 F.4th 1159#50",""
"884 F.3d at 918. In this case, unlike Diaz, the Government did not misstate the law to the district court. Certainly, the Government did not encourage the district court to commit the supposed error that forms the basis for the Majority's reversal—that Klensch may have been denied minor role because of his indispensable role as transporter.","United States v. Klensch, 87 F.4th 1159#51",""
"Indeed, the only mention of an indispensable role in the record below comes from Klensch himself, who correctly informed the court that ""[e]ven though his role as a transporter in this offense was necessary and indispensable, that alone is not a determinative role factor."" In these circumstances, ""our caselaw requires that we assume the district judge knew the law."" See Diaz, 884 F.3d at 916. In sum, today's decision goes beyond Dominguez-Caicedo and Diaz by vacating and remanding for resentencing in the absence of any affirmative misstatement of the law by either the court or the Government. And it does so on a record that would easily sustain the denial of minor role for Klensch's failure to meet his burden to submit sufficient evidence of other known participants.","United States v. Klensch, 87 F.4th 1159#52",""
"Therefore, I respectfully dissent in part. End of Document","United States v. Klensch, 87 F.4th 1159#53",""
