"input text","origin case+#chunk","output text"
"The district court denied Nelson's request, concluding—under the ""substantial need"" standard later rejected by the Supreme Court in Ayestas—that based on the evidence presented to the jury, Nelson committed the crime alone so no evidence of another's participation exists. 138 S. Ct. at 1092 (adopting ""reasonably necessary"" standard for funding requests brought under § 3599). But in relying on the existing evidence on the record, the district court failed to consider ""the potential merit of the claims"" and ""the likelihood that the services will generate useful and admissible evidence."" Id. at 1094.","Nelson v. Lumpkin, 72 F.4th 649#89",""
"Nelson sought to conduct the requested investigation precisely to locate evidence that he alleges exists and could have been uncovered to support Nelson's principal theory of defense and convince the jury to spare Nelson's life at the sentencing phase. The district court thus abused its discretion in denying Nelson's request for funding because Nelson has demonstrated that further investigation is likely to reveal evidence that supports his substantial IATC-Participation claim. Nelson's IATC-Participation claim is likely meritorious.","Nelson v. Lumpkin, 72 F.4th 649#90",""
"To prevail on this claim, Nelson must demonstrate both deficient performance by his trial counsel and prejudice to the outcome of his case. Strickland v. Washington, 466 U.S. 668, 687, 104 S. Ct. 2052, 80 L. Ed. 2d 674 (1984).","Nelson v. Lumpkin, 72 F.4th 649#91",""
"Nelson can probably show that his trial counsel was deficient in failing to reasonably develop the principal defense theory in Nelson's case—that Springs and Jefferson carried out the murder while Nelson served as a lookout for what he believed to be a robbery. Despite the importance of evidence suggesting Springs' and Jefferson's involvement in the murder, trial counsel did not even attempt to contact either Springs or Jefferson, let alone otherwise independently verify their alibis. At sentencing, trial counsel only used the fact that DNA from an unknown person was at the scene of the crime to support this defense theory.","Nelson v. Lumpkin, 72 F.4th 649#92",""
"Moreover, on appeal Nelson identified several ""red flags"" that would have prompted a reasonable attorney to conduct further investigation to gather evidence of Springs' and Jefferson's involvement in the murder. Rompilla v. Beard, 545 U.S. 374, 391, 125 S. Ct. 2456, 162 L. Ed. 2d 360 (2005) (Counsel ""could not reasonably have ignored mitigation evidence or red flags simply because they were unexpected."").","Nelson v. Lumpkin, 72 F.4th 649#93",""
"As to Springs, for example, Nelson points out that trial counsel should have investigated leads suggesting that Springs obtained Dobson's property directly from the scene of the crime, Springs' alibi witnesses had motive to protect him from jail, someone else had Springs' SIM card in their phone on the day of the murder and bruising on Springs' knuckles at the time Springs was arrested was consistent with the struggle with the victims. Nelson also highlighted the weaknesses in Jefferson's alibi given that while Jefferson testified that he was taking a quiz in class at the time of the murder, the teacher of that class stated that there was no quiz that day, Jefferson often skipped class, and a classmate could have signed in for Jefferson that day. These ""red flags"" indicate that trial counsel's investigation was likely deficient, and that further investigation will generate useful and admissible1 evidence in support of Nelson's IATC-Participation claim.","Nelson v. Lumpkin, 72 F.4th 649#94",""
"Nelson can also likely show, with the aid of further factual development, that he was prejudiced by trial counsel's failure to investigate because there is a reasonable probability that the jury would not have sentenced Nelson to death if trial counsel had gathered and presented the jury with more evidence of Springs' and Jefferson's participation in the murder. In sentencing Nelson to death, the jury necessarily concluded that he ""actually caused death or anticipated that death would occur,"" see TEX. CODE CRIM PROC.","Nelson v. Lumpkin, 72 F.4th 649#95",""
"ART. 37.071 § 2(b)(2), and further evidence that Springs and/or Jefferson committed the murder would have cast doubt on whether Nelson's culpability for the murder warranted the death penalty. Yet, as we noted in granting Nelson's COA, in the absence of the undiscovered evidence, the court finds itself in ""something of a Catch-22"" because ""[w]e cannot determine whether Nelson was prejudiced without knowing what evidence could have been uncovered"" in the absence of further investigation and therefore ""should not make this [prejudice] determination based solely on the record before us when he may be entitled to investigative funding to support this claim."" Nelson, 952 F.3d at 675.","Nelson v. Lumpkin, 72 F.4th 649#96",""
"Based on the deficiencies in trial counsel's performance, and the various avenues for investigation identified by Nelson, ""[t]here is[] good reason to believe that, were [Nelson's] § 3599(f) motion granted, he could establish prejudice under Strickland."" Ayestas, 138 S. Ct. at 1100 (Sotomayor, J., concurring). Further factual development is likely to lead to useful and admissible evidence to support Nelson's substantial IATC-Participation, and as such, is reasonably necessary for Nelson to be adequately represented by his present counsel. We should reverse the district court's denial of Nelson's petition and remand with instructions to grant Nelson's request for investigative funding under Section 3599(f).","Nelson v. Lumpkin, 72 F.4th 649#97",""
"II. Rhines Stay An order staying a federal habeas proceeding and holding it in abeyance pending a return to state court is appropriate when a petitioner brings an unexhausted claim in federal court and: ""(1) the district court determines there was good cause for the petitioner's failure to exhaust his claims in state court; (2) the claim is not plainly meritless; and (3) there is no indication that the petitioner is engaging in abusive litigation tactics or intentional delay."" Young v. Stephens, 795 F.3d 484, 495 (5th Cir. 2015) (citing Rhines v. Weber, 544 U.S. 269, 277-78, 125 S. Ct. 1528, 161 L. Ed. 2d 440 (2005)).","Nelson v. Lumpkin, 72 F.4th 649#98",""
"The district court did not address that standard and instead summarily denied Nelson's motion in light of its denial of Nelson's habeas petition on the merits. However, Nelson meets the standard for a stay under Rhines, and the district court abused its discretion in failing to issue a stay to allow Nelson to exhaust his IATC-Participation claim in state court. Rhines, 544 U.S. at 270 (""[I]t likely would be an abuse of discretion for a district court to deny a stay . . . if the petitioner had good cause for his failure to exhaust, his unexhausted claims are potentially meritorious, and there is no indication that he engaged in intentionally dilatory litigation tactics."").","Nelson v. Lumpkin, 72 F.4th 649#99",""
"As an initial matter, I disagree with the majority's conclusion that the IATC-Participation claim was exhausted in state court. In granting Nelson's COA on this claim, we found that Nelson's state habeas IATC claim ""did not touch on Nelson's allegations in this IATC-Participation claim that undiscovered evidence indicating that he played a minimal role in the capital murder itself could have been presented to the jury."" Nelson, 952 F.3d at 671-72. Nelson's IATC-Participation claim thus ""fundamentally alters"" his state court IATC claim, which only challenged whether his trial counsel sufficiently investigated his ""background, history family, and friends."" See also 2 Randy Hertz & James S. Liebman, Federal Habeas Corpus Practice & Procedure § 23.3c, at 982 (4th ed.","Nelson v. Lumpkin, 72 F.4th 649#100",""
"2001) (""The controlling standard seems to be that the petitioner exhausts the factual basis of the claim as long as she did not [] 'fundamentally alter the legal claim already considered by the state courts[.]'""). The majority faults Nelson's IATC-Participation claim for also being an IATC claim yet fails to meaningfully grapple with the case-specific differences in these two claims and the simple fact that his state habeas counsel did not raise and the state court did not adjudicate any claim based on the allegation that trial counsel failed to gather evidence of Nelson's diminished culpability for the murder. Moore v. Quarterman, 533 F.3d 338, 341 (5th Cir. 2008) (""Determining whether a petitioner exhausted his claim in state court is a case-and fact-specific inquiry."").","Nelson v. Lumpkin, 72 F.4th 649#101",""
"Nelson's IATC-Participation claim is thus unexhausted because it was not adjudicated in state court. Nelson meets the requirements for a Rhines stay to allow him to exhaust his IATC-Participation claim in state court. The first requirement—""good cause""—is satisfied when state habeas counsel is deficient in failing to raise a claim in state habeas proceedings.","Nelson v. Lumpkin, 72 F.4th 649#102",""
"Ruiz v. Quarterman, 504 F.3d 523, 529 n.17 (5th Cir. 2007) (recognizing that the ""failures"" of Texas' state habeas system in affording competent state habeas representation establishes equitable good cause for a Rhines stay). Here, Nelson's state habeas counsel's representation was deficient in failing to raise the IATC-Participation claim during state habeas proceedings. The decision to sentence Nelson to death was predicated in part on whether Nelson intended to cause death or anticipated loss of life, see TEX.","Nelson v. Lumpkin, 72 F.4th 649#103",""
"CODE CRIM PROC. ART. 37.071 § 2(b)(2), and as such, any reasonably competent habeas attorney would have appreciated the importance2 of raising the IATC-Participation claim during the state habeas proceeding.","Nelson v. Lumpkin, 72 F.4th 649#104",""
"Trevino v. Davis, 829 F.3d 328, 348-49 (5th Cir. 2016) (state post-conviction counsel's failure to investigate an IATC claim is deficient performance where the ""[t]he deficiency in [trial counsel's] investigation would have been evident to any reasonably competent habeas attorney.""). Yet not only did state habeas counsel do nothing to investigate the IATC-Participation claim, but he also spent only 4.5 hours reviewing trial counsel's records. Here, Nelson's state habeas counsel was thus deficient and such deficiency prejudiced Nelson since his underlying IATC-Participation claim is substantial.","Nelson v. Lumpkin, 72 F.4th 649#105",""
"The second Rhines requirement—that the underlying claim presented is not ""plainly meritless""—is also satisfied. As explained above, Nelson's IATC-Participation likely has merit, especially in light of the potential evidence he might uncover if allowed to conduct further investigation into Springs' and Jefferson's role in the murder. Finally, there is no sign of ""intentionally dilatory litigation tactics"" on Nelson's part that might justify a district court's denial of a Rhines stay.","Nelson v. Lumpkin, 72 F.4th 649#106",""
"See Rhines, 544 U.S. at 277-78. Nelson discovered the underlying bases for his IATC-Participation Claim during federal habeas counsel's investigation, and he filed his federal petition shortly thereafter. Because Nelson's IATC-Participation claim is unexhausted and Nelson has met the requirements set forth in Rhines, a stay is appropriate.","Nelson v. Lumpkin, 72 F.4th 649#107",""
"We should reverse the district court's denial of Nelson's request for a Rhines stay and remand with instructions that the district court stay this proceeding to allow Nelson to exhaust his IATC-Participation claim in state court. III. Because the district court should have granted Nelson funding to further develop his IATC-Participation claim and a Rhines stay to exhaust the claim in state court, I respectfully dissent from the majority's decision to affirm the denial of Nelson's habeas petition based on the incomplete record before it.","Nelson v. Lumpkin, 72 F.4th 649#108",""
"We should instead reverse the district court's denial of Nelson's requests for funding and a stay, and remand with instructions that the district court grant Nelson's request for investigative services and stay this proceeding while Nelson returns to state court to exhaust the IATC-Participation claim. End of Document","Nelson v. Lumpkin, 72 F.4th 649#109",""
"MEMORANDUM OF DECISION AND ORDER ON CROSS-MOTIONS FOR SUMMARY JUDGMENT DEIN, U.S.M.J. I. INTRODUCTION On December 23, 2019, the American Civil Liberties Union of Massachusetts (""ACLUM"") and Lawyers for Civil Rights (""LCR"") (collectively, the ""Plaintiffs"") brought this action under the Freedom of Information Act (""FOIA""), 5 U.S.C. § 552, seeking the production of certain records from the United States Department of Homeland Security (""DHS"") and United States Immigration and Customs Enforcement (""ICE"") (collectively, the ""Defendants""), in relation to two FOIA requests they had previously made. Over the next several years, the parties worked to resolve those requests, and the only issue remaining in this case is whether the Defendants have applied appropriate redactions to sections of one particular document they produced in response to one of those requests. This matter is presently before the court on Defendants' ""Motion for Summary Judgment"" (Docket No. 100), by which the Defendants contend that portions of the document at issue relate to law enforcement techniques and guidance, and as such, have been properly redacted in accordance with 5 U.S.C. § 552(b)(7)(E) (""Exemption 7(E)""), one of the enumerated exemptions under FOIA.","ACLU of Mass. v. U.S. Dep_t of Homeland Sec., 707 F. Supp. 3d 77#1",""
"This matter is also before the court on ""Plaintiffs' Cross-Motion for Summary Judgment"" (Docket No. 105). By their motion, the Plaintiffs argue that these redactions have been improperly applied and that the Defendants should be compelled to produce the document in its unredacted form. After consideration of the parties' written submissions, their oral arguments, and an in camera review of the redacted material at issue, the Defendants' ""Motion for Summary Judgment"" (""Defs'.","ACLU of Mass. v. U.S. Dep_t of Homeland Sec., 707 F. Supp. 3d 77#2",""
"Summ. J."") (Docket No. 100) is ALLOWED, and the ""Plaintiffs' Cross-Motion for Summary Judgment"" (""Pls'. Summ.","ACLU of Mass. v. U.S. Dep_t of Homeland Sec., 707 F. Supp. 3d 77#3",""
"J."") (Docket No. 105) is DENIED. For reasons set forth more fully below, the court concludes that the Defendants have properly applied Exemption 7(E) with respect to each of the challenged redactions and have, as a matter of law, satisfied their burden under FOIA. II.","ACLU of Mass. v. U.S. Dep_t of Homeland Sec., 707 F. Supp. 3d 77#4",""
"STATEMENT OF FACTS The following facts are undisputed unless otherwise indicated.1 Only information which is publicly available on the court docket is included herein. The June 21, 2019 and October 16, 2019 FOIA Requests The dispute in this case arises out of two FOIA requests which date back to June 21, 2019, and October 16, 2019. On June 21, 2019, the Plaintiffs submitted a FOIA request (the ""Gang Profile FOIA request"") to ICE in the form of a letter, the subject line of which read, ""FOIA request re DHS handling of allegations of gang membership,"" seeking, inter alia, agency records and information related to ""how DHS obtains, evaluates, disseminates and uses allegations about an individual's gang membership."" (DSOF ¶ 2; PSOF ¶ 2; Pls'.","ACLU of Mass. v. U.S. Dep_t of Homeland Sec., 707 F. Supp. 3d 77#5",""
"Ex. A at CM/ECF Pages 1, 3 of 8; Pls'. Ex.","ACLU of Mass. v. U.S. Dep_t of Homeland Sec., 707 F. Supp. 3d 77#6",""
