"input text","origin case+#chunk","output text"
"Clark filed this civil rights action pro se in the district court -- but she did not do so until well after the applicable limitations period expired. The district court sua sponte dismissed the case as untimely. This Court remanded, concluding that Clark should be afforded an opportunity to present her claim that the statute of limitations should be equitably tolled.","Clark v. Hanley, 89 F.4th 78#125",""
"It concluded that Clark was not credible in material respects, granted the motions, and dismissed the Complaint. The majority now affirms. I agree that the district court did not err in holding an evidentiary hearing on the question of equitable tolling.","Clark v. Hanley, 89 F.4th 78#127",""
"On remand, with the assistance of counsel, Clark filed a second amended complaint. She alleged that she remained silent because she was ""deeply and profoundly scarred,"" App'x 123, a consequence of the trauma she suffered from the sexual assaults, her fear of continued harassment and further retaliation (exacerbated by her continued housing for periods of time at MacDougal-Walker), and the denial of medical and mental health treatment for her depression and gender dysphoria. After defendants-appellees moved to dismiss pursuant to Rule 12(b)(6) of the Federal Rules of Civil Procedure, the district court held an evidentiary hearing.","Clark v. Hanley, 89 F.4th 78#126",""
"See ante, at 5. We have routinely approved of this practice and have even reversed district courts for failing to conduct evidentiary hearings where plaintiffs have put forward plausible claims of equitable tolling. See, e.g., Brown v. Parkchester S. Condos., 287 F.3d 58, 60-61 (2d Cir. 2002) (vacating and remanding, where ""it appears there may be substance to [a plaintiff's] claim[,]"" because ""an evidentiary hearing is appropriate to determine [whether] . . . equitable tolling would be in order"").","Clark v. Hanley, 89 F.4th 78#128",""
"I also agree that when a district court convenes an evidentiary hearing on equitable tolling, the court's role is that of a factfinder; the proceeding, as the majority puts it, functions as a bench trial on facts related to tolling. See ante, at 37. I disagree with the majority, however, in two principal respects.","Clark v. Hanley, 89 F.4th 78#129",""
"First, although district courts have wide latitude in structuring discovery and conducting evidentiary hearings, here the district court failed to afford Clark a ""meaningful opportunity"" to make the case that her circumstances warranted tolling. In re Agent Orange Prod. Liab.","Clark v. Hanley, 89 F.4th 78#130",""
"Litig., 517 F.3d 76, 103 (2d Cir. 2008) (quoting Long Island Lighting Co. v. Barbash, 779 F.2d 793, 795 (2d Cir. 1985)). The court convened an evidentiary hearing on only a few weeks' notice and before discovery could be completed, took testimony from no one besides Clark, and reviewed only a subset of Clark's medical records. Perhaps because the district court did not hear directly from the healthcare providers who worked with Clark, did not consider affidavits or deposition testimony from the prisoners and corrections officials who knew her, and did not have before it any expert testimony, the district court minimized the harm Hanley inflicted on her and found that aspects of Clark's testimony were ""neither plausible nor credible."" Clark v. Hanley, No. 18 Civ. 1765, 2022 U.S. Dist. LEXIS 6643, 2022 WL 124298, at *7 & n.55, *9 (D. Conn.","Clark v. Hanley, 89 F.4th 78#131",""
"Jan. 13, 2022). Perhaps it would have concluded otherwise if it had had a fuller evidentiary record, including testimony from experts on the barriers transgender prisoners face in reporting sexual assault. Second, to the extent the judgment rests on factual findings about the severity of Hanley's conduct and its effect on Clark, those findings were not the district court's to make.","Clark v. Hanley, 89 F.4th 78#132",""
"The Seventh Amendment to the U.S. Constitution guarantees Clark the right to have matters that go to the heart of her legal claims be decided by a jury. The district court's findings deprived Clark of her right to present those issues to a jury. It concluded, for example, that Hanley's behavior was ""not physically coercive or made under threat of harm or retaliation"" and was ""unlike a violent sexual assault or rape that would likely result in the most severe type of psychological trauma."" Clark, 2022 U.S. Dist. LEXIS 6643, 2022 WL 124298, at *6.","Clark v. Hanley, 89 F.4th 78#133",""
"These were issues that Clark was entitled to submit to the jury. Because the district court failed to afford Clark an adequate opportunity to develop evidence in support of her equitable tolling claim and intruded into the province of the jury, I would vacate and remand. Accordingly, I dissent.","Clark v. Hanley, 89 F.4th 78#134",""
"I. I address first the issue of discovery. It is troubling that the district court denied Clark's request for equitable tolling based on a factual record that was underdeveloped, both procedurally and substantively. The district court convened the evidentiary hearing on less than four weeks' notice and did not give Clark an adequate opportunity to gather the information she needed -- and that she told the district court she needed -- to make out her equitable tolling claim.","Clark v. Hanley, 89 F.4th 78#135",""
"As the majority emphasizes, ""[d]istrict courts have 'wide latitude to determine the scope of discovery'"" and ""a discovery ruling will warrant relief on appeal only if it constitutes an 'abuse of discretion.'"" Figueroa v. Mazza, 825 F.3d 89, 99 (2d Cir. 2016) (quoting In re Agent Orange, 517 F.3d at 103). Our review in this posture is highly deferential: ""A district court abuses its discretion only 'when the discovery is so limited as to affect a party's substantial rights.'"" In re Agent Orange, 517 F.3d at 103 (emphasis added) (quoting Long Island Lighting, 779 F.2d at 795). One of those substantial rights ""is that '[a] party must be afforded a meaningful opportunity to establish the facts necessary to support [her] claim.'"" In re 650 Fifth Ave. & Related Props., 934 F.3d 147, 157 (2d Cir. 2019) (quoting In re Agent Orange, 517 F.3d at 103).","Clark v. Hanley, 89 F.4th 78#136",""
