"input text","origin case+#chunk","output text"
"Ex parte Lo, 424 S.W.3d 10, 14 (Tex. Crim. App. 2013). ""When the constitutionality of a statute is attacked, we usually begin with the presumption that the statute is valid and that the legislature has not acted unreasonably or arbitrarily."" Id. at 14-15. ""The burden normally rests upon the person challenging the statute to establish its unconstitutionality."" Id at 15. Application Appellees set out the basic principle that the Fourth Amendment prohibits unreasonable seizures to safeguard the right of the people to be secure in their persons.","State v. Flores, 679 S.W.3d 232#57",""
"Torres v. Madrid, 141 S. Ct. 989, 993, 209 L. Ed. 2d 190 (2021). An arrest is the quintessential seizure of the person.","State v. Flores, 679 S.W.3d 232#58",""
"Id. at 996. And Appellees clarify that they do not challenge their traffic stops; they challenge their arrests—indeed, any arrests—under section 20.05(a)(1)(A). Appellees note that, as applied to encounters with law enforcement, an individual has the ""constitutional right to walk away and not answer any questions put to him without such action creating reasonable suspicion in the mind of the officer that criminal activity was afoot."" Gurrola v. State, 877 S.W.2d 300, 303 (Tex. Crim.","State v. Flores, 679 S.W.3d 232#59",""
"App. 1994). According to Appellees, given that an innocent individual has a constitutional right to avoid the police, it follows that assisting an innocent person to avoid the police must also be protected by the Fourth Amendment. In that circumstance, the person assisting innocent concealment shares the Fourth Amendment's protection.","State v. Flores, 679 S.W.3d 232#60",""
"Relying on Patel, Appellees argue that section 20.05(a)(1)(A) is facially invalid because there are no circumstances in which it operates constitutionally. Patel, 576 U.S. at 418. Patel involved a Los Angeles municipal code provision which allowed police to inspect hotel registry information on demand.","State v. Flores, 679 S.W.3d 232#61",""
"Id. at 412. Failure to make the records available was punishable as a criminal misdemeanor and could subject the hotelier to immediate arrest. Id. at 421.","State v. Flores, 679 S.W.3d 232#62",""
"A group of motel operators argued the statute was facially unconstitutional because it did not provide the operator an opportunity to have a neutral decisionmaker review an officer's demand to search the registry before the operator faced penalties for failing to comply. Id. Los Angeles countered that the code provision was not facially unconstitutional because circumstances existed under which it would be valid, such as in an emergency or when the inspection was permitted by a warrant. HN20[] The Supreme Court rejected that theory and held that, when applying the Salerno no-set-of-circumstances standard to a statute authorizing warrantless searches, the proper focus of the constitutional inquiry is searches that the law actually authorizes, not those for which it is irrelevant.","State v. Flores, 679 S.W.3d 232#63",""
"If exigency or a warrant justifies an officer's search, the subject of the search must permit it to proceed irrespective of whether it is authorized by statute. Statutes authorizing warrantless searches also do no work where the subject of a search has consented. Accordingly, the constitutional ""applications"" that petitioner claims prevent facial relief here are irrelevant to our analysis because they do not involve actual applications of the statute.","State v. Flores, 679 S.W.3d 232#64",""
"Id. at 418-19. Appellees analogize to Patel, asserting that the proper focus of the constitutional inquiry here is the seizures that section 20.05(a)(1)(A) authorizes, not those for which it is irrelevant. If another statute justifies the seizure, then the subject of the seizure must permit it to proceed irrespective of whether it is authorized by section 20.05(a)(1)(A).","State v. Flores, 679 S.W.3d 232#65",""
"Accordingly, they argue, the constitutional ""applications"" that could otherwise prevent facial relief here are irrelevant because they do not involve actual applications of the statute. Appellees argue that all legitimate uses of the statute are covered by federal or state statutes: • 8 U.S.C. § 1324(a)(1)(A)(ii)-(iii) (prohibiting transporting or concealing a person in this country without authorization); • Texas Penal Code § 38.05 (criminalizing harboring or concealing another ""with intent to hinder the arrest, prosecution, conviction, or punishment of another for an offense""); and • Texas Penal Code § 20.05(a)(1)(B) (criminalizing using a means of transport with the intent to flee from a person attempting to lawfully arrest or detain the actor). According to Appellees, the only situation section 20.05(a)(1)(A) separately criminalizes is one in which officers do not otherwise have a constitutionally justifiable reason to investigate, i.e., when the individual has every right to avoid the police.","State v. Flores, 679 S.W.3d 232#66",""
